Dataset,SHD,SID,Precision,Recall,F1-Score
Complexity 0 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,87,0.0,1.0,0.23684210526315788,0.38297872340425526
Complexity 0 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,12,0.0,1.0,0.3684210526315789,0.5384615384615384
Complexity 0 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,88,0.0,1.0,0.22807017543859648,0.3714285714285714
Complexity 0 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,12,0.0,1.0,0.3684210526315789,0.5384615384615384
Complexity 0 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 0 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,21,0.0,1.0,0.3,0.4615384615384615
Complexity 0 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,4,0.0,1.0,0.6,0.7499999999999999
Complexity 0 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,29,0.0,1.0,0.21621621621621623,0.35555555555555557
Complexity 0 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,6,0.0,1.0,0.25,0.4
Complexity 0 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,34,2.0,0.7142857142857143,0.13513513513513514,0.22727272727272727
Complexity 0 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,25,6.0,0.7272727272727273,0.26666666666666666,0.3902439024390244
Complexity 10 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,19,0.0,1.0,0.36666666666666664,0.5365853658536585
Complexity 10 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,2,0.0,1.0,0.6666666666666666,0.8
Complexity 10 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,30,3.0,0.5,0.1,0.16666666666666669
Complexity 10 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,6,0.0,1.0,0.4,0.5714285714285715
Complexity 10 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,120,21.0,0.38461538461538464,0.08771929824561403,0.14285714285714285
Complexity 10 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,2,0.0,1.0,0.6666666666666666,0.8
Complexity 10 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 10 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 10 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,18,0.0,1.0,0.4,0.5714285714285715
Complexity 10 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,5,0.0,1.0,0.375,0.5454545454545454
Complexity 10 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,14,0.0,1.0,0.2631578947368421,0.4166666666666667
Complexity 10 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,7,0.0,1.0,0.3,0.4615384615384615
Complexity 10 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,6,0.0,1.0,0.4,0.5714285714285715
Complexity 10 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 10 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,19,5.0,0.5,0.15789473684210525,0.23999999999999996
Complexity 10 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,29,0.0,1.0,0.21621621621621623,0.35555555555555557
Complexity 10 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,7,1.0,0.6666666666666666,0.25,0.36363636363636365
Complexity 10 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,2,0.0,1.0,0.6666666666666666,0.8
Complexity 10 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,34,4.0,0.6666666666666666,0.16216216216216217,0.26086956521739135
Complexity 10 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,90,0.0,1.0,0.21052631578947367,0.34782608695652173
Complexity 10 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,14,0.0,1.0,0.2631578947368421,0.4166666666666667
Complexity 10 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,5,0.0,1.0,0.375,0.5454545454545454
Complexity 10 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,29,0.0,1.0,0.21621621621621623,0.35555555555555557
Complexity 10 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,92,2.0,0.9583333333333334,0.20175438596491227,0.3333333333333333
Complexity 30 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,5,0.0,1.0,0.16666666666666666,0.2857142857142857
Complexity 30 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,8.0,0.0,0,0.0,0
Complexity 30 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 30 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,8.0,0.0,0,0.0,0
Complexity 30 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 30 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,32,0.0,1.0,0.13513513513513514,0.2380952380952381
Complexity 30 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,16,0.0,1.0,0.15789473684210525,0.2727272727272727
Complexity 30 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,25,0.0,1.0,0.16666666666666666,0.2857142857142857
Complexity 30 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,17,0.0,1.0,0.10526315789473684,0.1904761904761905
Complexity 30 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,125,22.0,0.2608695652173913,0.05263157894736842,0.08759124087591241
Complexity 30 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,34,0.0,1.0,0.08108108108108109,0.15
Complexity 30 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,36,2.0,0.6,0.08108108108108109,0.14285714285714288
Complexity 30 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,8.0,0.0,0,0.0,0
Complexity 30 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,5,0.0,1.0,0.5,0.6666666666666666
Complexity 30 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,1,0.0,1.0,0.5,0.6666666666666666
Complexity 30 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,18,1.0,0.6666666666666666,0.10526315789473684,0.18181818181818182
Complexity 30 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,6,0.0,1.0,0.4,0.5714285714285715
Complexity 30 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,34,5.0,0.16666666666666666,0.03333333333333333,0.05555555555555555
Complexity 30 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,5,0.0,1.0,0.16666666666666666,0.2857142857142857
Complexity 30 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,8,0.0,1.0,0.2,0.33333333333333337
Complexity 30 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,6.0,0.0,0,0.0,0
Complexity 30 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,25,0.0,1.0,0.16666666666666666,0.2857142857142857
Complexity 30 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,104,2.0,0.8571428571428571,0.10526315789473684,0.1875
Complexity 30 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,103,1.0,0.9230769230769231,0.10526315789473684,0.18897637795275588
