Dataset,SHD,SID,Precision,Recall,F1-Score
Complexity 10 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,25,263.0,0.6071428571428571,0.918918918918919,0.7311827956989247
Complexity 10 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,609,2782.0,0.14893617021276595,0.9210526315789473,0.2564102564102564
Complexity 30 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,2,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
Complexity 30 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,5,9.0,0.6153846153846154,1.0,0.761904761904762
Complexity 30 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,3,2.0,0.3333333333333333,0.5,0.4
Complexity 30 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,30,73.0,0.17647058823529413,0.75,0.2857142857142857
Complexity 30 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,4,5.0,0.25,0.5,0.3333333333333333
Complexity 30 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,101,346.0,0.24193548387096775,0.8108108108108109,0.3726708074534162
Complexity 30 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,34,153.0,0.3469387755102041,0.8947368421052632,0.5
Complexity 30 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,129,363.0,0.16326530612244897,0.8,0.27118644067796605
Complexity 30 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,13,69.0,0.6071428571428571,0.8947368421052632,0.7234042553191489
Complexity 30 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,548,2750.0,0.1232638888888889,0.6228070175438597,0.20579710144927535
Complexity 30 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,40,229.0,0.4745762711864407,0.7567567567567568,0.5833333333333334
Complexity 30 Num Features 5 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,97,363.0,0.2169811320754717,0.6216216216216216,0.3216783216783217
Complexity 30 Num Features 2 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,23,86.0,0.2413793103448276,0.875,0.3783783783783784
Complexity 30 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,5,8.0,0.6923076923076923,0.9,0.7826086956521738
Complexity 30 Num Features 2 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,2,1.0,0.5,0.5,0.5
Complexity 30 Num Features 3 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,47,148.0,0.22,0.5789473684210527,0.3188405797101449
Complexity 30 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,17,43.0,0.37037037037037035,1.0,0.5405405405405406
Complexity 30 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,131,353.0,0.11450381679389313,0.5,0.18633540372670807
Complexity 30 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,7,19.0,0.46153846153846156,1.0,0.631578947368421
Complexity 30 Num Features 5 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,12,34.0,0.45,0.9,0.6
Complexity 30 Num Features 3 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 100 Noise 0.01 0.1,7,13.0,0.45454545454545453,0.8333333333333334,0.5882352941176471
Complexity 30 Num Features 15 Num Latent 0 Max Lag 1 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,30,82.0,0.5,0.7333333333333333,0.5945945945945945
Complexity 30 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 1000 Noise 0.01 0.1,697,2800.0,0.1267605633802817,0.868421052631579,0.2212290502793296
Complexity 30 Num Features 15 Num Latent 0 Max Lag 3 Min Lag 1 Target Max Parents 3 Max Children 0 Samples 10000 Noise 0.01 0.1,199,2365.0,0.3408239700374532,0.7982456140350878,0.47769028871391084
